DR,NARRATIVE,CRIMETYPE
140615876,UNK SUSP TAKES VICTS PROP FROM BEDROOM WHILE FUMIGATING CREW WAS       TENTING HOUSE,THEFT
90715295, UNK S ENTERED VICTS BACKYARD REMOVED PROP AND FLED TO AN UNK LOC,THEFT
120921644, SUSP ENTERED LOC SELECTED MERCH AND CONCEALED SELECTED MERCH  SUSP THEN EXITED LOC W MERCH WITHOUT PAYING,THEFT
111311601,S APPR V FROM BEHIND S GRABBED V ARMS AND RESTRAINED THEM BEHIND V BACKS STATED DONT LOOK BACK S REMVD V WALLET FROM POCKET,Robbery
120718989,UNK SUSPS APPROACHED VICT REMOVED PROPERTY FROM TABLE FLED LOC,THEFT
121719848,S GAINED ENTRY TO VEH AND DESTROYED IGNITION WITH INTENTIONS TO STEAL  THE VEHICLE,Grand Theft Auto 
141308766,UNK SUSP USED A KEY TO UNLOCK V VEH UNK S MADE ENTRY RANSACKED VEH REMOVED PROPERTY THEN FLED THE LOCATION ON FOOT,BTFV
100611389,UNK S ENTERED VICTS APARTMENT VIA UNK MEANS TOOK VICTS PROP AND FLED INUNK DIRECTION WITH VICTS PROP,BURG
92017225,S1 SMASHED V WINDOW W A TIRE IRON AND ENTERED VEH S1 RUMAGED THROUGH V EH ENTERED VEH DRIVEN BY S2 FLED LOC,BTFV
111612826,UNK SUSP ATTD TO TAKE VICTS TRUCK,Grand Theft Auto 
91311018,UNK SUSP USED SCREWDRIVER TO PRY OPEN LOCK OF DRIVER SIDE VEH DOOR  S USED UNK TOOLS AND DAMAGED STEERING COLUMN THEN FLED ON FOOT SB LATHAM,Grand Theft Auto 
110205902,SUSP1 APPROACHED VICT AND ASKED TO SEE VICTS BICYCLE  WHILE SUSP1 RODE THE BICYCLE SUSP2 APPROACHED SUSP1 AND STATED GIVE ME THE BIKE,THEFT
130615063,2 MALE HISP SUSPS SHOT AN UNK HANDGUN AT UNK V APPROX 6 TIMES WITHIN   CITY LIMITS,Aggravated Assault  
131415496,VICT PLACED HER CELLPHONE ON A BENCH AT LAX WALKED AWAY FROM IT RETURNED TO THE BENCH APPROX 5 MINUTES LATER AND DISCOVERED HER CELLPHONE MISSING,THEFT
100513430,UNK SUSP ENTERED VICTS VEH AND REMOVED VICTS PROP  CONY CAMERA POLAROID CAMERA IBM LAPTOP SCOOTER CLOTHING,BTFV
120200710,SUBJ1 AND SUBJ2 ACTING IN CONCERT POINTED KNIFE AT VICT AND DEMANDED MONEY  SUBJS PUNCHED AND KICKED VICT AND WERE DETAINED BY CITIZENS FOR PO,Robbery
110211413,SUS AND VICT ENGAGED IN A VERBAL DISPUTE OVER JEALOUSY ISSUES SUS BECAME ANGRY AND STABBED VICT MULTI TIMES,Aggravated Assault  
101408792,UNK SUSPS SMASHED VICTS REAR PASS SIDE WINDOW SUSPS ENTERED VEHICLE ANDREMOVED VICTS PROPERTY THEN FLED IN UNKNOWN DIRECTION TO UNKNOWN LOCATION,BTFV
111924623,S1 AND S2 APPROACHED V DEMANDED V PROPERTY V FOUGHT WITH S S USED UNK SHARP OBJECT TO CUT V ARMS THEN FLED,Robbery
101114860,UNK SUSPS REMOVED VS PURSE FROM HER SHOULDER WHILE ON THE DANCE FLOOR  THEN FLED TO UNK LOC WITH VS PROP,THEFT
101612135,SUSP RMVD WINDOW SCRREN & UNLOCKED WINDOW. S TOOK LAPTOPXBOXMP3 AND FLED,BURG
100806570,UNK SUSPS USED UNK OBJ TO SMASH VICTS FRONT RT WINDOW GAINED ENTRY AND REMOVED VICTS PROP,BTFV
111804409, V WENT TO SLEEP AT LISTED DATE AND TIME AND WAS UNSURE IF SHE LOCKED  HER FRONT DOOR WHEN SHE WOKE UP SHE FOUND THE LISTED ITEMS MISSING,BURG
111517437,UNK SUSP ENTERS LOC SELECTS 18 PACK OF BEER FROM COOLER AND EXITS LOC  WITHOUT PAYING FOR ITEM,THEFT
91913994,ON ABOVE DATE AND TIME S WAS TO TAKE THE DEPOSIT OF 617 DOLLARS TO THE MALL DROP BOX ON 051209 PR WAS ADV DEPOSIT WAS NEVER MADE,THEFT
130217264,VICT IS HOMELESS AND SLEEPING OUT SIDE OF RESIDENCE SUSPS WALKED UP TO HIM BEGAN TO PUNCH HIM SEVERAL TIMES UNK SUS REMOVED VICT PROP FROM PERSON,Robbery
111019073,VEH POSSIBLY UNLOCKED S GAINED ENTRY AND REMOVED PROP,BTFV
121711991,UNK SUPS ENTERED LOCATIN VIA REAR GLASS DOOR REMOVED VICTS MEDICATION THEN FLED TO UNKNOWN LOCATION,BURG
111405461,SUSP REMOVED 4 BLK TIRES W RIMS FROM APT CARPORT PARKING LOT SUSP      PLACED THE TIRES ON HIS PICK UP TRUCK AND FLED TO UNK DIRECTION,THEFT
112016738,S1 AND S2 USED BOLT CUTTER TO BREAK CABLE LOCK RELEASING V BIKE FROM POLE S1 AND S2 FLED WITH BICYCLE,THEFT
90810849,UNK SUSPS STOLE VICTS WATCH FROM HER RESID WORKERS HAD ACCESS TO HER   RESID,THEFT
120312924,SUSP ENGAGED IN A VERBAL ARGUMENT WITH THE VICTIM AND PUNCHED AND BIT HER RIGHT INDEX,Aggravated Assault  
120806196,SUSP SMASHED V WINDOW AND RMEVD V ITEMS SUSP THEN FLED LOC IN UNK DIR,BTFV
102018556,SUSP REMOVED VICTS PROP FROM LOC WIT FOLLOWED SUSP AND ATTEMPTED TO RETRIEVE PROP SUSP PRODUCED KNIFE AND THREATENED THE WIT SUSP FLED,Robbery
120810444,UNK SUSPS OPENED UNLOCKED PASS DR TO GAIN ENTRY UNK SUSPS RMVD VICTS PROP AND FLED LOC TO AN UNK LOC VICT REFUSED PRINTS,BTFV
130509285,UNK S PRIED OPEN DRVR SIDE DOOR OF VICTS VEH AND TOOK VICTS PROP,BTFV
91709939,S SELECTED BOTTLE OF LIQUOR  CONCEALED IT IN A BAG  STORE MGR CONFRONTED S  S PUSHED AND PUNCHED MGR THEN FLED WITH THE PROPERTY,Robbery
101421594,UNK SUSP USED UNK TOOL TO SMASH SIDE WINDOW ENTER VIC VEH AND REMOVE CDPLAYER CAUSING DAMAGE TO DASH BOARD SUSP FLED IN UNK DIRECTION,BTFV
132018485,SUSP1 WAS OBSERVED DRIVING A STOLEN VEH SUSP1 FLED FROM THE VEH ON FOOTAND WAS NOT APPREHENDED SUSPS23 WERE ARRESTED AT SCENE,Grand Theft Auto 
120414647,UNK SUSP APPROACHED VICTIM AND BEGAN TO SHOOT AT VICT WITH A SHOTGUN AN40 CAL HANDGUN  VICTIM WAS STRUCK IN HAND,Aggravated Assault  
141109073,S ASK 2 SEE PHONE S THEN GRABBED PHONE FROM WITSHAND N FLED ON FOOT,THEFT
110114575,UNK SUSP USED UNK TOOL PRY DOOR AND SMASH WINDOW OF VICTS VEH SUSP     ENTERED VICTS VEH AND REMOVED PROP,BTFV
131509444,S RANG DOOR BELL CUT REAR BATHRM WNDW SCREEN ENTERED UNLOCKED WNDW AND WENT TO LAUNDRY RM  V INSIDE RESID SCREAMED  S FLED  POSS SVEH A CONVERTIBLE,BURG
100615554,S GAINED ENTRY INTO VEH BY BREAKING REAR PASS SIDE DOOR WITH UNK HRD OBJ AND ATTEMPTED TO TAKE VEH S FLED SB ON FOOT,Grand Theft Auto 
100809129,S CALLED AND ENTERED V TAXI  S THEN EXITED V TAXI WITHOUT PAYING THE FARE,THEFT
131205817,SUSP STABBED VICT WITH A KNIFE CAUSING INJURIES,Aggravated Assault  
121607321,SUSP AND VIC INVLV IN VERBAL DISPUTE OVER BEER THAT SUSP STOLE  SUSP THEN ATT TO STAB VIC WITH KNIFE,Aggravated Assault  
110913910, UNK SUSP OPENED SIDE WINDOW AND GAINED ENTRY TO RESID  UNK SUSP THEN REMOVED VICTS PROP AND FLED LOC,BURG
91206481,S WERE ENGRAGED IN PHYSICAL ALTERCATION S BEGAN STRIKING AND SLASHING V,Aggravated Assault  
131515914,SUSP INTENTIONALLY STRUCK THE VICT CAUSING PAIN AND FEAR,Aggravated Assault  
140614332,UNK S TOOK V PROP AND FLED UNK DIR,BTFV
100604041,UNK SUSPS APPROACHED VIC ON FOOT PRODUCED A BLACK HANDGUN AND A BLACK KNIFE DEMANDED VICS MONEY FLED LOC ON FOOT,Robbery
140305311,VICT FELL ASLEEP  DEFT REMOVED VICTS KEY AND STOLE VICTS VEH AND DROVE IT WITHOUT CONSENT,Grand Theft Auto 
91813127,S1 S2 AND V1 V2 V3 V4 INVOLVED IN MUTUAL COMBAT  S1 STRIKES V1 V2 V3 V4WITH WOOD BOARD AND S2 ATTEMPTS TO STAB V1 V2 V3 V4  S1 S2 FLED,Aggravated Assault  
112107743,SUSP WALKED INTO STORE AND RMVD PROP SUSP RAN OUT OF STORE WITHOUT     PAYING,THEFT
121817120,S TOOK V PURSE WHILE SHE WAS LOADING ITEMS INTO VEHFLED IN UNK DIR    WITH V PROP,THEFT
140808413,UNK S ENTERED LOC THROUGH SIDE OPENING  UNK S BURNED LOCK OFF CONTAINERUNKS PROCEEDED TO LOWER LEVEL CUT OFF LOC RMVD PROP AND FLED IN UNK DIR,THEFT
101604748,SUSP ENTERED VICTS LOCATIONT THROUGH SID GARAGE WINDOW AND TOOK VICTS PROPERTY     SUSP WAS CONFRONTED BY VICT AT SCENE   SUSP CUT VICT WITH BOX CUTTE,Robbery
111424805,UNK S ENTERED VICTS RESIDENCE THRU PARTIALLY OPENED DEN SLIDING DOOR S RANSACKED VICTS PROP AND ROOMS V WAS UNAWARE IF PROP WAS TAKEN AT TIME OF INC,BURG
120326235,UNK SUSP RMV VICTS CAR BATT WHICH WAS PARKED ON THE ST  UNK SUSP FLED LOC WITH PROP IN UNK DIR,BTFV
141415924,UNK SUSP USED POSS SHAVE KEY TO ENTER VIC VEH SUSP ATTEMPTED TO TAKE   VEH WITH SHAVED KEY BUT BROKE KEY IN IGNITION SUSP TOOK VIC PROP AND FLED,Grand Theft Auto 
100511381,SUSPS AND VICT ENGAGED IN FIGHT VICT FELL TO GROUND AND S1 SLASHED VICTS ARM WITH UNK OBJ,Aggravated Assault  
90816434,VICT STATED THAT SHE OBSD MULTIPLE PCS OF JEW MISSING FRM HER RESID NO SUSPS SEEN NO SIGNS OF FORCE ENTRY,THEFT
100326912,UNK S USED UNK HARD OBJ TO SMASH THE V PASS SIDE WINDW AND RMVD ITEMS FROM INSIDE VEHICLE,BTFV
91616820,SUSP RMVD ITEMS FROM VICT'S TRUCK AND ATTEMPTED TO FLEE.  SUSP WAS ARRESTED BY VICT,BTFV
91218561,SUSPS OPENED V VEH DOOR AND DEMANDED HIS MONEY S REMOVED V PROP AND FLED,Robbery
101705226,UNK SUSP STABBED VICTS NUMEROUS TIMES W UNK OBJ CAUSING INJURY,Aggravated Assault  
140100529,SUSP FORCED ENTRY INTO VICT VEH WAS SCREWPRIVED TOOK VICTS PROPERTY THEN FLED ON FOOT,BTFV
120901073, UNK SUSP USED UNK HARD OBJTO FORCE OPEN DOOR ENTERED AND TOOK UNK     PROP THEN FLED IN UNK DIR,BURG
121711056,UNKNOWN SUSPECT OPENED REAR DOOR OF VICTS VEHICLE REMOVED VICTS TOOLS  THEN FLED IN UNKNOWN DIRECTION WITH VICTS PROPERTY,BTFV
132015141,UNK S ENTERED V UNLOCKED VEH WHILE V SLEEPING IN PASSENGER SEAT UNK S TREMOVED V PROP FROM VEH AND FLED LOC,BTFV
102022763,S APPROACHED V AND ASKED THE TIME  S GRABBED V CHAIN AND PULLED ON V SHOULDER  S TOOK CHAIN AND FLED LOCATION,Robbery
110319215,SUSP APPROACHED VICT AND ASKED WHERE YOU FROM SUSP GRABBED VICT CHAIN AND RAN NB VERMONT WB KING ON FOOT WITH VICT PROP,Robbery
121609660,UNK SUSPS USED METAL ROD TO PRY OPEN VIC VEH WINDOW AND GAIN ENTRY     SUSPS REMVD VIC PURSE  MONEY  AND CAL OP  SUSPS FLED LOC IN UNK DIRECTION,BTFV
120617376,UNK S SMASHED V VEH WINDOW REMOVED V PROP AND FLED THE LOC IN UNK DIR,BTFV
130208133,S1 PUNCHED VICT IN THE FACE AND DEMANDED MONEY  S2 SEARCHED VICT POCKETS AND TOOK VICTS PROP  S3 ACTED AS LOOKOUT,Robbery
121220698,OCRS OBSD S ADVANCE TOWARDS V S WAS ARMED WITH KNIFE S LUNGED TOWARDS  V AND ATTD TO STAB V,Aggravated Assault  
122018277,S1 2 AND 3 APPROACHED V S1 TOLD V TO GIVE HIM V WALLET S2 TOLD V TO HURRY UP AND TO LEAVE THE LOCATION S3 STOOD BY V IN FEAR GAVE S1 HIS PROP,Robbery
141213342,VICT PARKED VEH ON THE STREET UNK SUSP BROKE INTO THE VICT VIA THE PASSENGER DOOR SUSP ATTEMPTED TO STEAL THE VEH DAMAGING THE IGNITION SUSP TOOK PROP,Grand Theft Auto 
90514248,UNK SUS ENTERED VIC UNLOCKED VEH REMOVED PROP THEN FLED  BLUTOOTH,BTFV
111604730,VICT AND SUSPS WERE EXITING NIGHT CLUB WHEN THEYBECAME INVOLVED IN A VERBAL ARGUMENT  SUSPS HIT AND KICKED THE VICTIM AND HIT VICT IN THE HEAD,Aggravated Assault  
121226523,UNK S PRYED OPEN V REAR WINDOW RANSACKED RESD AND REMOVED V PROPERTY   S FLED VIA BACK DOOR WITH V PROPERTY IN UNK DIRECTION,BURG
131313550, S1 APPROACH V1 FROM BEHIND ASSAULTD HIM W UNK METAL OBJ V2 ATT TO INTESBEGAN TO ASSAULT V2 W BODILY FORCE S FLED IN VEH EB 61ST ST,Aggravated Assault  
111404450,UNKS ENTERED V UNLOCKED VEH AND REMOVED PROP AND FLED,BTFV
122107848,V LEFT PHONE IN MAIL ROOM S ENTRD ROOM GRABBED PHONE AND FLED LOC      S THEN SOLD PHONE TO UNK PARTY,THEFT
120320184,S1 V1 ENGAGED IN A VERBAL ARGUMENT AND S1 PICKED UP A GLASS CROSS USED IT TO HIT V1 ON HEAD,Aggravated Assault  
110309190,VICT STATED SHE SAW HER PROP IN HER BEDROOM UPON RETURN SHE DISCOVERIESTHAT HER PROP WAS MISSING,THEFT
141412283,SUSPECT TOLD VICT TO EXIT TAXI SUSP DIDNT REMOVE BAG FROM TAXI AND DROVE OFF NB ON LINCOLN,THEFT
100308990,UNK S1 TOOK V1 CELL PHONE,THEFT
101015152,UNK SUSPS OPENED VICTS DRAWER AND REMOVED VICTS PROP TARZANA ROYAL ASST,THEFT
91826346, UNK SUPS ENT HIS VEH TAKING A BOX OF TOOLS AND GARAGE REMOTE AND FLED TO AN UNK LOC,BTFV
90208668,SUSP REMOVED VEH WHILE VICT WAS INSIDE CONVENIENCE STORE   KEYS WERE LEFT IN CAR,Grand Theft Auto 
90522545,PROP MISSING FROM VICTS STOLENRECOVERED VEH,Grand Theft Auto 
100921593,V WAS AT BUS STOP WHEN SUSPS APPROACHED HIM AFTER GETTING OFF THE BUS  S1 SHOVED V WHILE S2 TOOK VICT PROP OUT OF HIS HAND SUSPS FLED TO AN UNK LOC,Robbery
111716892,UNK SUSP ENTD APT BY UNK MEANS REMOVED LAPTOP COMP FROM RES AND FLD ON FOOT IN UNK DIRECTION,BURG
140906875, UNK SUSP USED LADDER ON SIDE OF BLDG TO GAIN ACCESS TO ROOF SUSP      REMOVED AIR CONDITIONING UNITS THEN FLED LOC IN UNK DIR,THEFT
140109058,S2 PKD BEH AT VICT LOC S1 JUMPED OUT OF VEH GRABBED V GENERATOR V FOLLOWED SUSP UP TO 10 FWY SANTA MONICA SUSPS FLED,THEFT
112106295,S1 AND S2 ENTERED THE BUSN WITH HANDGUNS SUSPS RESTRAINED VICTS WITH ZIPTIES AND DEMANDED PROP SUSPS REMOVED PROP AND LOADED PROP IN WAITING VEH,Robbery
130513068,SUSP BROKE INTO VICTS VEH AND STOLE PROP SUSP FLED IN UNK DIRECTION,BTFV
101511742,UNK SUSP ENTERED LOC THRU UNSECURED DOOR AND REMOVED VICTS PROP SUSP THEN FLED TO UNK LOC,BURG
131210152,ON GOING LANDLORD TENANT DISPUTE BETWN PARTIES S1 SHOVED V IN THE BACK THEN SWUNG A SHOVEL ATT TO STRIKE V S2 PUNCHED V IN HEAD,Aggravated Assault  
110520229,SUSP REMOVED MONEY & ATM CARD FROM VICT'S PURSE.,THEFT
130801487,SUSP STRUCK VICT IN THE FACE WITH A CANE SUSP THEN STRUCK VICT IN THE  BACK OF THE HEAD WITH HIS CANE CAUSING A LACERATION,Aggravated Assault  
101915416,UNK S OPENNED VICTS PASS DOOR AND ENTERED THE VEH UNK S TOOK VICTS PROPAND FLED IN UNK DIR,BTFV
141409900,VICT STATED THAT ON 3 21 14 AT 2317 HRS SHE LAST OBSD HER PHONE AT     2350 HRS VICT OBSD HER PHONE MISSING,THEFT
111908115,UNK S ENTERED LOC BY SMASHING REAR WINDOW S THE REMOVED VICTS PROP ANDFLED LOC IN UNK DIRECTION WITH V PROP,BURG
131521688,S1 AND S2 USED A SEARS BAG AND RECEIPT FROM AN ITEM PURCHASED EARLIER TO CONCEAL MERCHANDISE AND EXIT WO PAYING  SVEH94 TOYT WHI 5EOF176  BKG 3778180,BURG
140500731,SUSP AND VICT BECAME INVOLVED IN STRUGGLE OVER VICTS PURSE IN FEAR VICTLET GO OF PURSE,Robbery
131816309,SUSP APPROACHED VICT AND DEMANDED VICTS VEH VICT FEARED SUSP AND FLED  IN VEH,Grand Theft Auto 
101016367,UNK SUSP TOOK PROP FRM VICTS BACK YARD,THEFT
130710332,SUSP REMOVED VICTS BIKE FROM PROPERTY VICT RECOVERED PROP AS SUSP ATTEMPTED TO FLEE,THEFT
90921831, UNK SUSP ENTERED LOC FROM REAR BALCONY PRIED REAR DOOR OPEN TOOK VICTSPROP AND FLED LOC THRU POE IN UNK DIRECTION,BURG
102016412,UNK SUSPS APPRCHD VICT AND WIT AND STATED WHAT TIME YOU GOT  UNK SUSPS STRUCK VICT IN FACE USING HIS FIST AND RMVD VICTS PROP AND FLED LOC,Robbery
90217969,SUSP TOOK VICTS PROPERTY AT GUNPOINT,Robbery
131709200,S RENTED TRUCK AND DIDNT RETURNED TO VICT PER CONTRACT,Grand Theft Auto 
90813752,UNK S DAMAGED DOOR LOCK TO V VEH S ENTRD VEH DAMAGED STEERING COLUMN N IGNITION S LEFT THE SCENE IN AN UNK DIR VEH WAS NOT MOVED,Grand Theft Auto 
101921805,S ENTERED MARKET SELECTED ITEMS S PLACED ITEMS IN PURSE S EXITED STORE S MADE NO ATTEMPT TO PAY FOR ITEM,THEFT
131010936,SS MET V AT GAS STATION TO PURCHASE CRAIGS LIST CELL PHONE S1 S2 WERE  WERE BOTH LOOKING AT VS PHONE S1 PEPPER SPRAYED V AND FLED WITH VS PROP,Robbery
101216443,UNK S REMOVED PROPERTY FROM BACK SEAT OF VEH AND FLED IN UNK DIRECTION,BTFV
100712539,S PUNCHD V IN ARM AND FACE TOOK V PROP FLED UNK DIR,Robbery
111822176,SUSPS SURROUNDED VICT 1 AND V2 SUSPS STRUCK VICTS WITH HANDS AND FEET SREMOVED THE VICTS PROPERTY AND FLED TO UNK LOC,Robbery
101120656,UNK S OPENED VICTS VEH REMOVED KEYS TO SECOND VEH THEN TOOK SECOND VEH,Grand Theft Auto 
110814042,VICT LOCKED AND SECURED VEH UNK SUSPS SMASHED VICTS FRONT RIGHT PASS   WINDOW REMOVED PROP AND FLED,BTFV
111314023,UNK SUSPS ENTERED VICTS LOCKED AND SECURED RESID WITH POSS KEY SUSPS REMOVED VICTS PROP AND EXITED VIA FRONT DOOR WITH VICTS PROP,BURG
90909412,UNK SUSP CUT LOCK OFF BIKE AND FLED WITH IT,THEFT
101814169,V AND SUSPS BECAME INVOLVED IN HEATED ARGUMENT IN ANGER SUSP SWUNG A KNCAUSING AN INJURY TO VICT HAND,Aggravated Assault  
111613129,UNK SUSP TOK COMPUTERBAG FROM VIC UNLOCKED VEH,BTFV
122115086,UNK S PRIED REAR METAL SECURITY SCREEN AND REAR WOODEN DOOR WITH AN UNKOBJ AND LEFT IN UNK DIR,BURG
90700919,UNK SUSP ENTERED LOCATION REMOVED PROPERTY FLED LOCATION IN UNK DIR,BURG
101427868,UNK SUSP RIPPED PR SCREEN OFF OF WINDOW IN AN ATTEMPT TO GAIN ENTRY    INTO PRS RESIDENCE,BURG
120620469,SUSP WAS DRIVER OF STOLEN VEH INVOLVED IN A HIT RUN TC,Grand Theft Auto 
90514894,SUSP APPROACHE VICT FROM BEHIND AND LIT A BUTANE LIGHTER AND SINGED VICTS HAIR SUSP FLED LOC,Aggravated Assault  
120316186,UNK SUS ENTERED VIC RES REMOVED PROP THEN FLED IN UNK DIRECTION,BURG
111912535,S APPROACHED V AND STATED GIVE ME YOUR MONEY V REFUSED S PULLED OUT A  KNIFE REMOVED V PROPERTY AND FLED,Robbery
101111579,UNK SUSPS GAINED ENTRY INTO VS RESID AND LEFT LOC WITHOUT VS PROP,BURG
101506993,UNK SUSP RMVS VICTS PROP FROM VICTS BEDROOM,THEFT
111017274,SUSPS ATT TO ENTER LOC THRU REAR SLIDING DOOR ALARM WAS ACTIVATED      S FLED ON VEH TO UNK LOC,BURG
91234333,UNK SUSP PRIED OPEN SIDE DOOR W PRY TOOL SUSP REMOVED PROP AND EXITED VIA FRONT DOOR SUSPS THEN FLED IN UNK DIRECTION,BURG
91314784,UNK SUSPS ENTERED CLINTON MIDDLE SCHOOL BY UNK MEANS ONCE INSIDE CAMPUSSUSPS GAINED ENTRY INTO SEVERAL ROOM BY UNK MEANS AND REMOVED PROP,BURG
120311015,S1 ENTERES USC BOOK STORE TAKES ITEMS FROM SHELF GOES TO ESCALATOR AND PUTS ITEMS IN A BAG LEAVES WITHOUT PAYING,THEFT
101006452,UNK SUSPS SMASHED THE FRNT PSSGR WNDW AND MADE ENTRY ONCE INSIDE THE VEH SUSPS REMOVED VICTS PROP AND FLED INTO UNK DIR,BTFV
90405830,SUSP 1 AND 2 DEMANDS MONEY SUSP 1 POINTS HANDGUN AT VICT AND TELLS HIM TO OPEN DOOR VICT IN FEAR EXITS CATERING TRUCK SUSPS TAKE MONEY AND FLEE,Robbery
121600972,SUSPS DROVE UP NEXT TO VICTS IN VEH AND FIRED SHOTS HITTING VICT VEH,Aggravated Assault  
100808739, SUSPS USED UNK METHOD TO ENTER VICTS LOCKED VEH SUSPS CUT ALARM WIRES UNKDER DASHBOARD RANSACKED INTERIOR REMOVED NAVIGATION SYSTEM FROM DASHBOARD,BTFV
130706912,SUSP OPENED DOOR TO VICTS VEH AND ATT TO SART VICTS VEH WITH SET OF KEYS SUSP FLED TO AWAITING VEH WHEN APPROACHED BY VICT,Grand Theft Auto 
92105534,S ENTERED RESID AND REMOVED PROP,BURG
91111924,UNK SUSPS SMASHED VEHS WINDOW ENTERED VEH AND REMOVED PROP SUSPS       SMASHED SECURED VEH PROP TAKEN IS UNK,BTFV
90617082,SUSPS AND VICT INVOLVED IN VERBAL DISPUTE SUSPS ENTERED VEH AND SUSP 1 RETRIEVES HANDGUN FROM GLOVE BOX AND POINTS AT VICT SUSPS FLED SB FROM LOCATION,Aggravated Assault  
110116087,S WALKED UP TO V AND SAID LET ME SEE YOUR PHONE S TOOK VS PROP,Robbery
131218897,S AND V ARGUED S ARMED HIMSELF WITH A KNIFE AND ATTEMPTED TO STAB V,Aggravated Assault  
121227673,VIC WAS PARKED ON IN VEH 4 SUSPS APPROACHED VEH S1 POINTED GUN AT VIC AND OPENED THE DRVR DOOR S1 THEN REACHED IN VIC POCKETS AND TOOK VICS PROP,Robbery
121206894,SUSP ENTERED THROUGH REAR WINDOW SUSPS RANSACKED THE VICS HOUSE AND FLED OUT THE REAR DOOR WITH THE VICS PROP IN UNK DIRECTION,BURG
91404610,UNK SUSP ENT VIC RESD WHILE VIC AND WIT WAS ASLEEP THROUGH UNLOCKED REAR SLIDING DOOR UNK SUSP REMOVED VIC PROP UNK SUSP WAS STARTLED BY WIT S FLED,BURG
130216361,UNK S STOLE V RENT MONEY ORDER S CHANGED INFORMATION ON MONEY ORDER ANDUSED V MONEY ORDER,THEFT
131700700,SUSP CUT VICT ON THE ARM WITH A KNIFE AFTER BEING PUNCHED BY VICT,Aggravated Assault  
111410733,VIC STATED HIS VEH WAS REPORTTED STOLEN WHEN HIS VEH WAS RECOVERED     UNK SUSP TOOK VIC PROPERTY FROM HIS VEH,Grand Theft Auto 
131223140,UNK SUSPS ENTERED LOC VIA REAR WINDOW UNK SUSPS REMOVED CICTS PROPERTY FROM LOC,BURG
131511658,UNK SUSP ATTEMPTED TO START VICTS VEH SUSP THEN FLED WITH VICTS PROP AND FLED TO UNK LOC,Grand Theft Auto 
101619562,SUSP ENTERED LOC AND PULLED A KNIFE AND APPROACHED OWNER  SUSP DEMANDEDWAL AND PHONE  SUSP FORCED VICT TO REG AND DEMANDED MONEY SUSP TOOK CIGARETTES,Robbery
130117048,SUSP WHILE ATTEMPTING TO FLEA THE SCENE FROM A RobberyERY AND AN ADW STABBED VICT WHO WAS ATTEMPTING TO DETAIN HIM SEE ATTACHED RobberyERY ARREST RPT,Aggravated Assault  
101514399,S USED MADE A HOLE THRU THE REAR METAL SCREEN DOOR REACHED INSIDE AND OPENED WOODEN DOOR  S RANSACKED RESIDENCE  UNABLE TO DETERMINE IF PROP TAKEN,BURG
141907731,VICT LEFT VEH LOCKED SECURED IN GATED COMMUNITY PKG LOT  UNK SUSPS SMASHED RR WINDOW ENTERED VEH REMOVED DIALYSIS MACHINE  FLED WITH VICT PROP,BTFV
131704955,SUSP TOOK VICT PRESCRIPTION FROM TOP SHELF OF VICT BEDROOM CLOSET,THEFT
